λ,ε(λ),Ref: ,https://www.photochemcad.com/databases/common-compounds/heterocycles/quinoline
(nm),(L/mol/cm),,
280,2572.6,,
281,2564,,
282,2553.7,,
283,2520.3,,
284,2478.7,,
285,2444,,
286,2447.5,,
287,2474.5,,
288,2452.8,,
289,2360.5,,
290,2260.4,,
291,2185.9,,
292,2143.3,,
293,2136,,
294,2080.3,,
295,1964.9,,
296,1841.8,,
297,1787.5,,
298,1890.1,,
299,2154.5,,
300,2284.5,,
301,2131.7,,
302,1934.4,,
303,1803.8,,
304,1728.8,,
305,1722.1,,
306,1692,,
307,1516.2,,
308,1255.8,,
309,1044.5,,
310,1009.4,,
311,1384.5,,
312,2122.8,,
313,2560,,
314,2251.6,,
315,1536.4,,
316,905.33,,
317,509.18,,
318,294.7,,
319,192.63,,
320,137.91,,
321,107.27,,
322,82.792,,
323,60.301,,
324,46.499,,
325,44.117,,
326,36.99,,
327,31.906,,
328,27.462,,
329,27.101,,
330,20.526,,
331,24.359,,
332,23.418,,
333,23.318,,
334,22.187,,
335,22.337,,
336,23.408,,
337,21.396,,
338,22.898,,
339,22.297,,
340,23.859,,
341,22.357,,
342,23.748,,
343,20.716,,
344,21.526,,
345,17.733,,
346,17.643,,
347,20.005,,
348,21.606,,
349,24.289,,
350,18.884,,
